model,group,ΔDP,ΔEO,RABBI_DP,RABBI_EO,δ,JSD,EMD
meta-llama/Llama-2-7b-chat-hf,African-American-Female,-0.0040000000000000036,-0.03433047471132422,-0.02345,-0.06922503725782414,-0.025000000000000355,0.05187822221261338,0.05499999999999994
meta-llama/Llama-2-7b-chat-hf,African-American-Male,-0.10600000000000001,-0.14735578235005187,-0.107625,-0.11946826758147513,-0.5499999999999998,0.6387352044700088,0.5500000000000003
meta-llama/Llama-2-7b-chat-hf,Caucasian-Female,0.08199999999999996,0.02452758797213378,0.164675,0.10383426097711812,0.7749999999999995,0.1291741753250006,0.7750000000000001
meta-llama/Llama-2-7b-chat-hf,Hispanic-Female,0.01799999999999996,-0.05182798218889151,0.222475,0.22180451127819548,1.1049999999999995,0.5732774788442936,1.1149999999999998
meta-llama/Llama-2-7b-chat-hf,Hispanic-Male,-0.136,-0.18620599568937365,0.043225,0.028324567993989483,0.08000000000000007,0.1714036662279155,0.2799999999999999
meta-llama/Llama-2-7b-chat-hf,Other-Female,0.03199999999999997,-0.011942027807138822,0.281125,0.23535353535353534,1.5099999999999998,0.27277645430446773,1.5099999999999998
meta-llama/Llama-2-7b-chat-hf,Other-Male,-0.06200000000000003,-0.15399031053486403,0.095975,-0.016495601173020527,0.375,0.12928655373326994,0.3749999999999998
microsoft/Phi-3-mini-4k-instruct,African-American-Female,-0.064,-0.07629288274449564,-0.056862244897959185,-0.1539291217257319,-0.2306122448979595,0.07470768645726932,0.23061224489795917
microsoft/Phi-3-mini-4k-instruct,African-American-Male,-0.07399999999999998,-0.017684824136437016,-0.2285678391959799,-0.21333333333333335,-0.7942211055276385,0.16872340443603337,0.794221105527638
microsoft/Phi-3-mini-4k-instruct,Caucasian-Female,0.124,0.09848329475647755,0.1422,0.06258503401360545,0.5,0.529528511528167,0.5100000000000002
microsoft/Phi-3-mini-4k-instruct,Hispanic-Female,-0.02999999999999997,-0.061122212706568924,0.2198469387755102,0.2229034531360113,0.9071428571428566,0.1677032254935047,0.9071428571428573
microsoft/Phi-3-mini-4k-instruct,Hispanic-Male,-0.13999999999999999,-0.18276188543991342,0.042275,0.020811419984973704,0.16999999999999993,0.08467958579285997,0.20000000000000012
microsoft/Phi-3-mini-4k-instruct,Other-Female,-0.057999999999999996,-0.08083357432675198,0.2791025641025641,0.19276201505500867,0.9576923076923078,0.6085673408865515,0.9576923076923076
microsoft/Phi-3-mini-4k-instruct,Other-Male,-0.19,-0.23700716845878134,-0.0023115577889447235,-0.14890029325513196,-0.30678391959799,0.21465148177520985,0.6183919597989948
